Title,Salary_low,Salary_high,Description
data scientist degree apprenticeship,23400,29745,people work differently depending job need hybrid working flexible hour plenty option help people thrive role based united kingdom normal working day must carried united kingdom join apprentice join apprenticeship programme completing externally accredited programme data scientist level take month set excellent career prospect joining one natwest digitalx services team give technical training need successful role great opportunity take ownership career path build network across bank part growing community apprentice benefitting supportive collaborative working environment join october taking apprentice role could fantastic starting point change career receive support every step way guidance training mentoring help reach full potential line manager set goal individual learning plan help complete professional qualification technical training need successful role established programme look support new apprentice using experience guide support also completing learning plan time may include passing exam submitting workbook providing evidence development working closely apprenticeship learning provider developing positive relationship wide range colleague developing knowledge capability undertake job learn programming machine learning robotic process automation strategic role data organisation present story data key stakeholder skill need looking strong communicator ability build great working relationship good problem solver added ability think analytically logically adapt well change crucially looking people passion learning high level determination motivation drive succeed eligibility requirements ucas point level btecs england highers equivalent scotland also need proactive inquisitive mindset ability challenge offer solution strong numerical logical skill ability maintain strong customer focus innovative creative mindset strong communication stakeholder management skill good planning organisational skill ability prioritise effectively manage time effectively high quality interpersonal skill ability work well team reward join competitive salary depending location addition receive money help save retirement choose range protection healthcare lifestyle benefit natwest group benefits fully flexible reward programme generous holiday entitlement day may required work bank holidays visit reward benefit page information benefit package offer need adjustment support application information alternative format special requirement access building eligible disability confident scheme please contact everything help
senior data scientist,,,job advert passionate using data science business problem experience leveraging data unlock value want continue journey working within data analytics team work directly within data science team produce complex data science model identify deliver business value across number key business process support area business ranging space optimisation store analysing reason poor product availability within store part team within diverse data function well supporting activity across wider organisation requiring strong team work ethic desire develop working relationship role provides many opportunity develop communication technical analytical skillsets help support putting customer first asda move digital data transformation joining asda right time leveraging data analytics foundation asda transformation strategy would heart key accountabilities contribute delivery data science project independent contributor direction data science manager supervise data scientists team supporting technical personal development contribute data science project according agile principle ensuring ticket well written work written documented appropriately contribute development novel data science model contribute technical implementation productionisation end end machine learning system review pull requests carry code review ensure best practice followed develop knowledge data science contribute data science community asda presenting work internal external meeting contribution evaluation scoping new data science project estimate value knowledge good understanding data science including statistic machine learning programming know apply data science successfully deliver project within agile framework communicating influencing communicate clearly stakeholder team member project progress risk ensure work effectively documented ticket artifact freedom think act work direction data science manager freedom identify deliver solution tactical basis within agile framework would contribute team project direction ensuring project focus remains improving business outcome work works hybrid way working give choice work work enables choose effective offer mix working home office environment work best team well across network store depot want colleague able bring best true self work every day simply put want colleague proud asda proud question please email jaimearmstrongasdacouk
graduate data scientist,,,overview weatherford leading global energy service company worldclass expert partner customer optimize resource realize full potential asset across operating location including manufacturing research development service training facility operator choose strategic solution add efficiency flexibility responsibility energy operation focused technology development digital solution defining footprint new energy space ability provide integrated solution across segment critical growth core operation energy transition energy producer face unique challenge every day job create solution enhance safety streamline operation sustain uptime meet exceed target operate across global energy landscape employing best diverse talent industry weatherford understand value individual brings table celebrate diversity form immensely proud workforce invite join passionate talented wordclass team join weatherford instantly feel connected something bigger community grounded core value driven create innovative solution customer celebrate others success grow together learn constantly individually impressive together unstoppable one weatherford weatherford offer competitive compensation comprehensive benefit program provides challenging enriching career path healthy balance structure flexibility chart course weatherford equal opportunity employer employment decision made without regard race color religion national ethnic origin sex sexual orientation gender identity expression age disability protected veteran status characteristic protected law responsibilities weatherford exciting opportunity graduate datasensor scientist join team east leake near loughborough uk graduate datasensor engineer working within established data science sensor measurements team role develop processing algorithm analyse data characterise sensor measurement purpose improving answer product delivered client working close cooperation production manufacturing engineering software department optimise workflow develop novel processing algorithm perform statistical analysis area measurement fall broadly category mechanical electrical acoustic nuclear expectation would development expertise one category responsibilities duties research development novel remote sensing method technique optimisation sensor processing algorithm application novel signal image processing method including inversion technique machine learning provide support existing system including limited calibration system analysis trouble shooting error management collaborate various business unit project understand provide analysis subsurface data context energy service develop solution subsurface evaluation need provide documentation regular report project stakeholder disseminate work via peerreviewed publication qualifications required degree equivalent data science mathematics physics related science discipline proficiency mathematical programming language eg matlab python good understanding data preprocessing various analytical method strong experience working time series data ability summarise complex idea wider organisation good interpersonal communication skill intrinsic interest data science technique innovative mindset willingness learn develop drive result enthusiasm good proactive work ethic excellent attention detail high level integrity willingness collaborate diverse team proficiency microsoft office product driving license would preferred preferred year practical experience data science role applying signal processing andor machine learning algorithm exposure geophysical measurement advantage
data scientist,40000,60000,looking take data career next level join iosphere data science experience accelerator land job data scientist leading organisation please note currently accepting application candidate permanent right work uk apply join upcoming cohort starting july th httpsiosphereioapply choose iosphere run unique programme designed secure individual couple year experience data next career jump become data scientist work leading organisation looking hire data scientist match talent put innovative training programme data science experience accelerator recruit behalf partner employer use training programme identity upskill people role work work network employer understand data talent need often looking data analyst senior analyst data scientist analytics engineer effective manager recruit train talented individual course week get ready job employer match connect trainee employer joining iosphere mean becoming part community life continue support community ongoing mentoring training throughout career ready apply take minute httpsiosphereioapply role work many different organisation seeking hire talented data scientist majority role require undertake data collection preprocessing analysis build model address business problem present information using data visualisation technique ideal candidate year experience data analytics data related role advanced understanding data management visualisation practice fluency python r sql data analytics fluent written spoken english expect experience accelerator experience accelerator flexible week programme give talented data professional technical skill experience take career next level end effective data scientist toolkit land job data scientist first week part time requiring hour per week across evening weekend final week full time monday friday ready apply step complete minute application formhttpsiosphereioapply step proceed remaining step application process step commence journey july th strongly encourage application woman people color lesbian gay bisexual transgender nonbinary individual veteran parent individual disability committed equal opportunity welcome individual background participate program require reasonable adjustment stage application interview process please inform job types fulltime parttime salary per year benefits flexitime work home schedule flexitime monday friday ability commuterelocate london reliably commute plan relocate starting work required language english required work authorisation united kingdom required work location hybrid remote london reference id senior analystexpected start date
junior data scientist,27461,33428,expand data science team looking capable enthusiastic individual background informatics data science eager develop technical portfolio gain experience helping nhs wales delivering insightful impactful analysis responsibility include large variety data science analytical project offering great insight wider nhs wales system triangulating patient outcome financial data healthcare activity understand wide breadth data science data engineering technique encourage interest individual interest experience least one skillsets rr studio python business intelligence software dashboard visualisation within powerbi tableau qlik cognos automation software powerautomate operational research modelling technique ssmssql machine learning package analysis reporting complex data
ktp associate,25000,40000,job detail job reference date posted application closing date salary per annum one key ktp benefit graduate access training travel budget month project job categorytype ktp attachments blank ktp associate data scientist job description school electronics electrical engineering computer science eeecs queen university belfast currently seeking appoint post ktp associate data scientist knowledge transfer partnership ktp programme queen university belfast partnership sensoteq ltd exciting employment opportunity graduate work project develop innovative machine learning based condition monitoring package detection change energy efficiency analysis related fault industrial wireless sensing sensoteq operate within predictive maintenance space specifically providing industrial internet things iiot solution monitor condition machinery sensoteq purpose provide industrial world sustainable future preventing failure reducing energy wastage wirelessly connecting machine internet analysing relevant data unique opportunity dynamic motivated computer science electronic engineering graduate work sensoteq ltd belfast month collaborative project school electronics electrical engineering computer science eeecs queen ktp associate lead delivery following key project stage guidance company academic supervisor stage exploratory data analysis stage model development model selection stage model knowledge transfer stage relevant data analysis stage machine learning based model development refinement stage finalise model knowledge transfer stage dissemination exploitation successful candidate must application clearly demonstrate hold obtain phd relevant discipline year industrial work experience hold least degree equivalent computer science electronic engineering closely related discipline completion large relevant research project student placement used machine learning technique develop model successful outcome project applicants indicate experience could applied post year academic industrial work experience machine learning based model development statistical analysis data science demonstrate work experience part team understanding supervised unsupervised machine learning method demonstrate understanding evaluating statistical model datasciencerelated programming skill python r matlab python preferred experience computer aided data analytics visualisation framework software package may demonstrated publication completed industrial project please note exhaustive list information role including essential desirable criterion please click candidate information link queen university committed promoting equality opportunity created inclusive culture establishing staff network irise black asian minority ethnic international staff network prism lgbtq help progress equality also subscribe equality charter marks diversity charter mark ni addition athena swan information commitment equality diversity inclusion please visit wwwqubacukdiversity wwwqubacukqgi wwwqubacuksitesstaffgatewaystaffnetworks informal enquiry may directed ktpqubacuk candidate information ktp programme school sensoteq attractive package information international applicant
data scientist,51488,57802,las data scientists use analytics support operational service delivery provide evidence business strategic decision making role instrumental bringing together datasets use mathematical model dynamic reporting creative visualisation drive forward ambition making las worldclass service working variety project across organisation role include many aspect data science algorithm development implementation modelling method data engineering application advanced statistical technique recommendations derived work shape delivery evolving service challenging healthcare environment role also involve mixture home office working exciting opportunity arisen post data scientist within forecasting planning team role month fixed term contract first instance high likelihood becoming permanent post shortly appointment successful candidate need come office time join enthusiastic technicallyminded team part high profile influential organisation great opportunity someone interested using data science skillset tackle urgent challenge facing critical public service role also involves communicating colleague across strategic operational executive team confidence presenting complex finding nonstatistical audience essential ideal candidate knowledge area forecasting timeseries modelling supervised unsupervised learning programming r andor python sql advanced analytics multivariate statistic machine learning data visualisation reporting london ambulance service nhs trust busiest ambulance trust uk seeking someone fit trust value respectful professional innovative collaborative team well established organisation central strategic operational planning part wider performance analytics directorate together cover data quality business intelligence forecasting planning urgent emergency healthcare service directorate key ensuring las data driven organisation decision informed timely high quality analysis annual leave start day rising day plus bank holiday line agenda change employees access blue light emergency service discount well nhs discount scheme thoroughly accurately scope requirement project realising need end user capability limitation existing system liaise negotiate internal external customer meet information requirement efficient cost effective way use tact diplomacy skill aid dissemination complex information internal external customer level please see job description person specification detail
research associate,37386,43155,looking creative forwardthinking supportive research environment enables explore test new idea want innovate create cuttingedge data science method machine learning ai approach create disruptive technology tomorrow working university liverpools signal processing research group give ability apply expertise develop technical professional skill lead leadership role future career path choose diverse role requires skill software development applied mathematics statistic msc numerate subject electrical engineering math physic computer science experience developing applying analytical technique realworld problem enjoy working team solve tough big data challenge apply msc degree electronic engineering computer science statistics applied mathematics physics another numerate discipline equivalent work experience post available june university right close vacancy early deemed enough application received
data scientist,,,innovid nysectv power advertising delivery personalization measurement outcome across linear ctv digital world largest brand global infrastructure enables crossplatform ad serving datadriven creative currencygrade measurement innovid offer client alwayson intelligence optimize advertising investment across channel platform screen device innovid independent platform lead market converged tv innovation proprietary technology exclusive partnership designed reimagine tv advertising headquartered new york city innovid serf global client base office across americas europe asia pacific learn visit innovidcom follow linkedin twitter impact make collaborate highimpact project beginning end working autonomy accountability scope stage work welldefined milestone make accurate timeline estimate deliver estimate use sql andor python jupyter notebooks prepare data perform exploratory data analysis evaluate different modeling approach tell story effective visualization make recommendation generate valuable solution meet client need often combination rich thirdparty datasets note also consider candidate proficient r work within common tech stack includes though may limited aws snowflake dbt jupyter notebook spark mongo postgres among others documentation task tracking typically live jiraconfluence proactively engage problemsolving faultfinding addressing issue data approach arise communication visual verbal written finding variety audience including colleague client technical nontechnical bring degree advanced training statistic mathematics computer science highly quantitative field year work experience related field software development experience python knowledge advanced statistical analytical technique concept sampling method regression property distribution weighting samplebased data statistical test proper usage etc experience realworld application numpy scipy pandas mllib scikitlearn common data machine learning related library working knowledge data structure database sql advantage etl process demonstrable history devising overseeing datacentered project proactive attitude selfmotivated detail oriented person analytical problemsolving skill shown probing asking relevant question able learn quickly juggle multiple project moving deadline strong written verbal communication skill capacity foster healthy stimulating work environment frequently harness teamwork knowledge aws environment service would beneficial offer day holiday including public holiday pension plan employee assistance programme life insurance cycle work scheme private medical insurance vitality training development session inhouse ld platform unlimited office snack hybrid working model good worklife balance rsu restricted stock units plan offices major city around world crosscompany collaboration unlike anywhere else liem thing perfect resume someone check every box innovid generous time knowledge always ready teach however identify whatever background bring please apply role would make excited come work every day add innovid equal opportunity employer innovid equal opportunity employer committed diversity inclusiveness consider qualified applicant regardless race color nationality gender gender identity expression sexual orientation religion disability age strongly encourage woman people color member lgbtqia community people disability veteran apply actively working antiracist organization committing creating inclusive equitable workplace employee read commitment dei located within eea subject gdpr california resident subject california consumer privacy act click understand innovid process personal information exercise right
data scientist,,,united kingdom information technology group functions job reference br city london job type full time role passionate directly impacting business utilizing analytical machine learning skill want play key role mining large datasets generate meaningful actionable insight improve decision making optimize process excellent problem solver passionate technology innovation looking data scientist work stakeholder identify opportunity leveraging data drive business result mine analyze data various data set provide actionable insight employ machine learning statistical method automate transform ubs group functions including finance real estate delivery function develop process tool monitor analyze model performance data accuracy work development team providing endtoend analytics machine learning solution team part integrated data strategy platform team within finance risk data organization data strategy platform heart ubs group functions digitize support business process function team globally based switzerland uk emea apac experience skill bs ms phd data science machine learning statistics related stem field year relevant equivalent experience experience finance industry plus knowledge variety machine learning technique natural language processing classification clustering optimization deep neural network good understanding mathematical underpinning realworld advantagesdrawbacks hands experience using programming language python sql etc manipulate data develop model derive insight hands experience database analytical technology industry excellent oral written communication skill ability collaborate fastpaced team environment diversity help grow together committed fostering advancing diversity equity inclusion strengthens business brings value client expertise recruit tshaped wellrounded professional deep expert core technology open learning new technology core skill include hands experience spark databricks relevant azure component handson experience deploying analytical model solve business problem ability develop experimental analytical plan data modeling process experience data visualization tool ubs world largest truly global wealth manager operate four business division global wealth management personal corporate banking asset management investment bank global reach breadth expertise set apart competitor employee presence major financial center country want one hire role requires assessment application learn hire wwwubscomglobalencareersexperiencedprofessionalshtml join ubs embrace flexible way working role permit offer different working arrangement like parttime jobsharing hybrid office home working purposeled culture global infrastructure help connect collaborate work together agile way meet business need gaining new experience different role acquiring fresh knowledge skill know great work never done alone know people unique background skill experience level interest drive ongoing success together ready part teamubs make impact disclaimer policy statements ubs equal opportunity employer respect seek empower individual support diverse culture perspective skill experience within workforce
