Id,Title,Metadata,Description
3179097cc1c691d7,Data Scientist Degree Apprenticeship - job post,"£23,400 - £29,745 a year -  Full-time, Apprenticeship","
Our people work differently depending on their jobs and needs. From hybrid working to flexible hours, we have plenty of options that help our people to thrive.
This role is based in the United Kingdom and as such all normal working days must be carried out in the United Kingdom.

Join us as an Apprentice


 Join our apprenticeship programme, where you’ll be completing an externally accredited programme, Data Scientist Level 6, which will take you up to 48 months and will set you up with excellent career prospects.
 You’ll be joining one of our NatWest Digital-X (Services) teams who’ll give you all the technical training you’ll need to be successful in your role
 This is a great opportunity to take ownership of your career path and build a network across the bank
 You’ll be part of our growing community of apprentices, benefitting from a supportive and collaborative working environment
 You’ll join us in October 2023


 What you'll do
 Taking on an apprentice role could be a fantastic starting point or change for your career. You’ll receive support every step of the way, with guidance, training and mentoring to help you reach your full potential. Your line manager will set you up with goals and an individual learning plan, to help you to complete professional qualifications or technical training that you’ll need to be successful in your role.
 Once established in the programme, we’ll look to you, to support other new apprentices, using your experience to guide and support them.

 You’ll also be:

 Completing your learning plan on time, which may include passing exams, submitting workbooks and providing evidence of your development
 Working closely with your apprenticeship learning provider and developing positive relationships with a wide range of colleagues
 Developing your knowledge and capabilities to undertake the job


 What you’ll learn:

 Programming
 Machine learning and robotic process automation.


 The strategic role of data in the organisation.
 How to present stories in data to key stakeholders.


 The skills you'll need
 We’re looking for a strong communicator with the ability to build great working relationships. You’ll be a good problem solver, with an added ability to think analytically and logically and adapt well to change. Crucially, we’re looking for people with a passion for learning and high levels of determination, motivation, and drive to succeed.

 Eligibility Requirements
 80 UCAS points (A levels or BTECs in England and Highers or equivalent in Scotland)

 You’ll also need:

 A proactive and inquisitive mindset, with the ability to challenge and offer solutions
 Strong numerical and logical skills
 The ability to maintain a strong customer focus
 An innovative and creative mindset
 Strong communication and stakeholder management skills,
 Good planning and organisational skills with the ability to prioritise effectively and manage your time effectively
 High quality interpersonal skills, with the ability to work well in a team


 How we'll reward you
 You’ll join on a competitive salary between £23,400 - £29,745 (Depending on location) and in addition you’ll receive money to help you save for retirement. You can choose from a range of protection, healthcare or lifestyle benefits from NatWest Group Benefits, our fully flexible reward programme.
 You'll have a generous holiday entitlement of 33 days – you may be required to work Bank Holidays.
 Visit our reward and benefits page for more information on the benefit packages we offer.

If you need any adjustments to support your application, such as information in alternative formats or special requirements to access our buildings, or if you’re eligible under the Disability Confident Scheme please contact us and we’ll do everything we can to help.

"
1ddfdbc687b1c4f1,Senior Data Scientist - job post,"Full-time, Permanent","




    Job Advert
   

 Are you passionate about using data science to business problems? Do you have experience leveraging data to unlock value and want to continue this journey?
 Working within the data and analytics team you will work directly within our data science team to produce complex data science models to identify and deliver business value across a number of key business processes. We support all areas of the business ranging from space optimisation in stores to analysing reasons for poor product availability within our stores.
 You will be part of a team within a diverse data function, as well as supporting activities across the wider organisation, requiring a strong team work ethic and a desire to develop working relationships. This role provides many opportunities to further develop your communication, technical and analytical skillsets and help support us in putting the customer first.
 As Asda moves through its digital and data transformation, you'll be joining Asda at the right time. Leveraging data and analytics is a foundation to Asda's transformation strategy and you would be at the very heart of this!


 Key Accountabilities


Contribute to the delivery of data science projects as an independent contributor, under the direction of the Data Science Manager.


Supervise Data Scientists in the team, supporting their technical and personal development.


Contribute to data science projects according to agile principles, ensuring that tickets are well written, and that work is written up and documented appropriately.


Contribute to the development of novel data science models.


Contribute to the technical implementation and productionisation of end to end Machine Learning systems


Review Pull Requests and carry out code reviews to ensure that best practice is being followed.


Develop own knowledge in data science, and contribute to the data science community at Asda by presenting work at internal and external meetings


Contribution to the evaluation and scoping of new data science projects and estimate their value.


How you will do it:

Knowledge - You will have a good understanding of data science including statistics, machine learning and programming, and know how to apply data science to successfully deliver projects within an agile framework.
Communicating and influencing - You will communicate clearly to stakeholders and other team members about project progress and risks, and ensure that work is effectively documented in tickets and other artifacts.
Freedom to think and act - You will work under the direction of the Data Science Manager, but will have freedom to identify and deliver solutions on a tactical basis within an agile framework. You would contribute to team and project direction, ensuring that the project's focus remains on improving business outcomes.

Work Where it Works
 Our hybrid way of working gives you the choice to work where it works. This enables you to choose where you'll be the most effective. It offers a mix of working from home and in an office environment that works best for you and your team, as well as across our network of stores and depots.
 We want all colleagues to be able to bring their best and true selves to work, every day. Simply put, we want our colleagues to be Proud to be Asda and proud to be themselves.
 If you have any questions, then please email jaime.armstrong@asda.co.uk



"
ff561f48cb931d5f,Graduate Data Scientist/Physicist - job post,Full-time,"
 Overview: 
  Weatherford is a leading global energy services company. Our world-class experts partner with customers to optimize their resources and realize the full potential of their assets. Across our operating locations, including manufacturing, research and development, service and training facilities, operators choose us for strategic solutions that add efficiency, flexibility, and responsibility to any energy operation.
 We are focused on technology development, digital solutions, and defining our footprint in the new energy space. Our ability to provide integrated solutions across our segments will be critical to growth in our core operations and the energy transition
 Energy producers face unique challenges every day, so it is our job to create solutions that enhance safety, streamline operations, and sustain uptime to meet or exceed their targets. We operate across the global energy landscape employing some of the best diverse talent in the industry. At Weatherford, we understand the value each individual brings to the table. We celebrate diversity in all its forms and are immensely proud of our workforce. We invite you to join our passionate, talented, word-class team.
 When you join Weatherford, you instantly feel connected to something bigger - a community that is grounded by our core values and driven to create innovative solutions for our customers. We celebrate each others successes, grow together, and learn from each other constantly. Individually, we are impressive. Together, we are unstoppable. We are One Weatherford.
 Weatherford offers competitive compensation, a comprehensive benefits program and provides you a challenging and enriching career path, with a healthy balance of structure and flexibility to chart your own course.
 Weatherford is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age. disability, protected veteran status or other characteristics protected by law. Responsibilities: 
  Weatherford have a very exciting opportunity for a Graduate Data/Sensor Scientist to join the team in East Leake, near Loughborough, UK. The Graduate Data/Sensor Engineer will be working within the established Data Science and Sensor Measurements Team and your role will be to develop processing algorithms, analyse data and characterise sensor measurements for the purpose of improving the answer products delivered to our clients. Working in close cooperation with Production, Manufacturing, Engineering and Software departments, you will optimise workflows, develop novel processing algorithms, and perform statistical analyses. The areas of our measurements fall broadly into 4 categories: mechanical, electrical, acoustic, and nuclear and the expectation would be the development of your expertise in one or more of these categories.
 Responsibilities & Duties:

 Research and development of novel remote sensing methods and techniques.
 Optimisation of sensors and processing algorithms.
 Application of novel signal / image processing methods, including inversion techniques and machine learning.
 Provide support for existing systems including but not limited to calibration, systems analysis, trouble shooting and error management.
 Collaborate on various business unit projects.
 Understand and provide analysis on subsurface data in the context of energy services.
 Develop solutions to our subsurface evaluation needs.
 Provide documentation and regular reports to project stakeholders.
 Disseminate your work via peer-reviewed publications.


 Qualifications: 
 
   Required:
 

 A degree or equivalent in Data Science / Mathematics / Physics or a related science discipline.
 Proficiency in mathematical programming languages (e.g. MATLAB, Python).
 Good understanding of data pre-processing and various analytical methods.
 Strong experience working with time series data.
 Ability to summarise complex ideas to the wider organisation.
 Good interpersonal and communications skills.
 Intrinsic interest in data science techniques.
 An innovative mindset.
 Willingness to learn and develop.
 Drive for results, enthusiasm, with a good proactive work ethic.
 Excellent attention to detail and a high level of integrity.
 Willingness to collaborate in a diverse team.
 Proficiency with Microsoft Office products.
 Driving license would be preferred.


   Preferred:
 

 2+ years practical experience in a data science role applying signal processing and/or machine learning algorithms.
 Exposure to geophysical measurements an advantage.

"
ec6274ab803db1de,Data Scientist - job post,"£40,000 - £60,000 a year -  Full-time, Part-time","Are you looking to take your data career to the next level?
Join iO-Sphere's Data Science Experience Accelerator to land a job as a data scientist at a leading organisation!
*****Please note that we are currently accepting applications only from candidates with the permanent right to work in the UK.*****
-------------------------------------------------------------------------------------------------------
Apply now to join our upcoming cohort starting on July 17th: https://io-sphere.io/apply/
-------------------------------------------------------------------------------------------------------
Why choose iO-Sphere?
We run a unique programme designed to secure individuals with a couple years’ experience in data, their next career jump to become a data scientist. We work with leading organisations looking to hire data scientists and match them with talent we have put through our innovative training programme: the Data Science Experience Accelerator.
We recruit on behalf of our partner employers and use our training programmes to identity and up-skill people for their roles.
How does it work?
We work with our network of employers to understand their data talent needs. They are often looking for data analysts, senior analysts, data scientists, analytics engineers and effective managers
We recruit and train talented individuals over the course of 10 weeks to get them ready for the jobs with our employers
We match and connect our trainees with our employers
Joining iO-Sphere means becoming part of the community for life. We continue to support our community with ongoing mentoring and training throughout their career
Ready to apply? It only takes a minute: https://io-sphere.io/apply/
The roles:
We work with many different organisations seeking to hire talented data scientists. The majority of these roles will require you to:

Undertake data collection, preprocessing and analysis
Build models to address business problems
Present information using data visualisation techniques

Ideal candidates:

2 or more years of experience in data analytics or data related roles.
Advanced understanding of data management and visualisation practices.
Fluency in Python, R and SQL for data analytics.
Fluent in written and spoken English

What to expect on the Experience Accelerator:

The Experience Accelerator is a flexible 10-week programme to give talented data professionals the technical skills and experience to take their career to the next level. By the end, you will be an effective data scientist with the toolkit to land a job as a data scientist.
The first 6 weeks are part time requiring 12 hours per week across evenings and weekends.
The final 4 weeks are full time, Monday to Friday.

Ready to apply?
Step 1: Complete the 1-minute application form:https://io-sphere.io/apply/
Step 2: Proceed with the remaining steps of the application process
Step 3: Commence your journey with us on July 17th, 2023!
We strongly encourage applications from women, people of color, lesbian, gay, bisexual, transgender,, and non-binary individuals, veterans, parents, and individuals with disabilities. We are committed to equal opportunities and welcome individuals from all backgrounds to participate in our program. If you require reasonable adjustments at any stage of the application or interview process, please inform us.
Job Types: Full-time, Part-time
Salary: £40,000.00-£60,000.00 per year
Benefits:

Flexitime
Work from home

Schedule:

Flexitime
Monday to Friday

Ability to commute/relocate:

London: reliably commute or plan to relocate before starting work (required)

Language:

English (required)

Work authorisation:

United Kingdom (required)

Work Location: Hybrid remote in London
Reference ID: Senior AnalystExpected start date: 17/07/2023"
85580358ec19921b,"Junior Data Scientist - FP&D, NHS Exec - job post","£27,461 - £33,428 a year -  Permanent","
As we expand our Data Science team, we are looking for a capable and enthusiastic individual with a background in Informatics or Data Science. You will be eager to develop your technical portfolio and gain further experience helping NHS Wales by delivering insightful and impactful analysis. 
Your responsibilities will include a large variety of data science and analytical projects, offering great insights to the wider NHS Wales system by triangulating patient outcomes, financial data and healthcare activity. 
We understand the wide breadth of data science and data engineering techniques, and so we encourage interest from individuals with interest and experience in at least one of these skillsets: R/R Studio, Python, business intelligence software and dashboard visualisations within PowerBI, Tableau, Qlik or Cognos, automation software such as PowerAutomate, operational research modelling techniques, SSMS/SQL, machine learning packages, analysis and reporting on complex data.

"
f0d7c2392ed4ad3b,KTP Associate - Data Scientist - job post,"£25,000 - £40,000 a year","


Job details



Job reference

 23/111015 

Date posted

 05/06/2023 

Application closing date

 30/06/2023 

Salary

 £25,000 - £40,000 per annum. One of the key KTP benefits for graduates is access to a £9,500 training and travel budget over the 30-month project. 

Job category/type

 KTP 

Attachments



     Blank
    





KTP Associate - Data Scientist



Job description



      The School of Electronics, Electrical Engineering & Computer Science (EEECS) at Queen’s University Belfast, is currently seeking to appoint to the post of KTP Associate – Data Scientist.
    



      Through the Knowledge Transfer Partnership (KTP) Programme Queen’s University Belfast in partnership with Sensoteq Ltd have an exciting employment opportunity for a graduate to work on a project to develop an innovative machine learning based condition monitoring package for detection of changes, energy efficiency analysis and related faults in industrial wireless sensing.
    



      Sensoteq operate within the “Predictive Maintenance” space, specifically providing Industrial Internet of Things (IIoT) solutions to monitor the condition of machinery. Sensoteq’ s purpose is to provide the industrial world with a more sustainable future, preventing failure and reducing energy wastage by wirelessly connecting machines to the internet and analysing the relevant data.
    



      This is a unique opportunity for a dynamic and motivated Computer Science or Electronic Engineering graduate to work in Sensoteq Ltd (Belfast) on a 30-month collaborative project with School of Electronics, Electrical Engineering and Computer Science (EEECS) at Queen’s.
    



 The KTP Associate will lead on the delivery of the following key project stages under the guidance of company and academic supervisors:



Stage 1 –Exploratory data analysis
Stage 2 –Model development and model selection
Stage 3 –Model and Knowledge Transfer
Stage 4 –Relevant Data Analysis
Stage 5 –Machine Learning based model development and refinement.
Stage 6 - Finalise Model and Knowledge Transfer
Stage 7 –Dissemination and Exploitation




 The successful candidate must have, and your application should clearly demonstrate you have:



Hold, or be about to obtain, a PhD in a relevant discipline or 2 years of industrial work experience.
Hold at least a 2.1 Degree (or equivalent) in Computer Science, Electronic Engineering, or a closely related discipline.
Completion of a large relevant research project or student placement and have used machine learning techniques to develop a model with a successful outcome for the project.
Applicants should indicate how their experience could be applied to this post. 
      
2 years of academic or industrial work experience in machine learning based model development, statistical analysis, and data science*.
Demonstrate work experience as part of a team.
Understanding of both supervised and unsupervised machine learning methods*.
Demonstrate an understanding of evaluating statistical models*.
Data-science-related programming skills in Python, R, or Matlab (Python preferred).
Experience with computer aided data analytics and visualisation framework software packages.
 


may be demonstrated through a publication or a completed industrial project.




 Please note the above are not an exhaustive list. For further information about the role including the essential and desirable criteria, please click on the Candidate Information link below.




      Queen’s University is committed to promoting equality of opportunity to all. We have created an inclusive culture by establishing staff networks such as iRise (Black, Asian, Minority Ethnic and International Staff Network) and PRISM (LGBTQ+) which help us progress equality.
    



      We also subscribe to Equality Charter Marks such as the Diversity Charter Mark NI in addition to Athena Swan. For further information on our commitment to Equality, Diversity and Inclusion, please visit: www.qub.ac.uk/diversity; www.qub.ac.uk/qgi and www.qub.ac.uk/sites/StaffGateway/StaffNetworks/
    



      Informal enquiries may be directed to ktp@qub.ac.uk
    



      Candidate Information
    



      About the KTP Programme
    



      About the School
    



      About Sensoteq
    



      Attractive Package
    



      Further information for international applicants
    




"
d018879a8e2c1f8a,Data Scientist - job post,"£51,488 - £57,802 a year -  Full-time","LAS Data Scientists use analytics to support operational service delivery and provide evidence for business and strategic decision making. This role will be instrumental in bringing together our datasets through the use of mathematical models, dynamic reporting, and creative visualisation, to drive forward our ambition of making the LAS a world-class service. Working on a variety of projects across the organisation, the role will include many aspects of data science, from algorithm development and implementation of modelling methods, to data engineering and the application of advanced statistical techniques. Recommendations derived from your work will shape the delivery of an evolving service in a challenging healthcare environment. This role will also involve a mixture of home and office working. 

 An exciting opportunity has arisen for a post as a Data Scientist within the Forecasting & Planning team. This role will be a 12 month fixed term contract in the first instance, with a high likelihood of becoming a permanent post shortly after appointment. The successful candidate will need to come to the office some of the time. You will join an enthusiastic and technically-minded team as part of a high profile and influential organisation. This is a great opportunity for someone interested in using their data science skillset to tackle urgent challenges facing critical public services. The role also involves communicating with colleagues from across the strategic, operational and executive teams, so confidence in presenting complex findings to non-statistical audiences is essential. The ideal candidate will have knowledge of areas such as: 


Forecasting and time-series modelling
Supervised & unsupervised learning
Programming (R and/or Python, SQL)
Advanced analytics such as multivariate statistics and machine learning
Data visualisation and reporting
 London Ambulance Service NHS Trust is the busiest ambulance Trust in the UK. We are seeking someone who will fit with the Trust values of being respectful, professional, innovative and collaborative. The team is well established in the organisation and central to strategic and operational planning. We are part of the wider Performance and Analytics directorate who together cover data quality, business intelligence, and forecasting and planning for urgent and emergency healthcare services. The directorate is key to ensuring that LAS is a data driven organisation, with decisions being informed by timely and high quality analysis. 

 Annual leave starts at 27 days rising to 33 days, plus bank holidays, in line with Agenda for Change. Employees can access Blue Light (emergency services) discounts as well as NHS discount schemes. 


Thoroughly and accurately scope requirements for projects, realising the needs of the end user and capability and limitations of existing systems;
Liaise and negotiate with internal and external customers to meet information requirements in an efficient and cost effective way;
Use tact and diplomacy skills to aid in the dissemination of complex information to internal and external customer at all levels;
 Please see the Job Description and Person Specification for further details."
fee595f55217e615,Research Associate - Data Scientist - Grade 7 - job post,"£37,386 - £43,155 a year","Are you looking for a creative, forward-thinking and supportive research environment that enables you to explore and test new ideas? 

 Do you want to innovate and create cutting-edge data science methods, machine learning and AI approaches to create the disruptive technologies of tomorrow? 

 Working with the University of Liverpool¿s Signal Processing research group gives you the ability to apply your expertise, develop your technical and professional skills and lead you into a leadership role in any future career path you choose. 

 This diverse role requires skills from software development, to applied mathematics and statistics. If you have a MSc in a numerate subject such as electrical engineering, maths, physics, computer science; experience of developing and applying analytical techniques to real-world problems; and enjoy working as a team to solve tough, big data challenges, apply now. 

 You will have a MSc degree in Electronic Engineering, Computer Science, Statistics, Applied Mathematics, Physics or another numerate discipline; OR equivalent work experience. 

 This post is available until 30 June 2025. 

 The University has the right to close the vacancy early if it is deemed that there have been enough applications received"
f5774a76434d36a3,Data Scientist (UK) - job post,,"

Innovid (NYSE:CTV) powers advertising delivery, personalization, measurement and outcomes across linear, CTV and digital for the world's largest brands. Through a global infrastructure that enables cross-platform ad serving, data-driven creative, and currency-grade measurement, Innovid offers its clients always-on intelligence to optimize advertising investment across channels, platforms, screens, and devices. Innovid is an independent platform that leads the market in converged TV innovation, through proprietary technology and exclusive partnerships designed to reimagine TV advertising. Headquartered in New York City, Innovid serves a global client base through offices across the Americas, Europe, and Asia Pacific. To learn more, visit innovid.com or follow us on LinkedIn or Twitter.

 The Impact You'll Make:

Collaborate in high-impact projects from beginning to end, working with autonomy and accountability. Scope & stage work into well-defined milestones; make accurate timeline estimates and deliver to those estimates 
Use SQL and/or Python (Jupyter Notebooks) to prepare data, perform exploratory data analysis, evaluate different modeling approaches, tell a story through effective visualizations, and make recommendations to generate valuable solutions that meet our clients' needs, often in combination with rich third-party datasets. Note: we will also consider candidates who are proficient in R. 
Work within the common tech stack which includes (though may not be limited to) AWS, Snowflake, DBT, Jupyter notebooks, Spark, Mongo, and Postgres among others. Documentation and task tracking typically live in JIRA/Confluence. 
Proactively engage in problem-solving, fault-finding, addressing issues in the data or approaches as they arise. 
Communication (visual, verbal, and written) of findings to a variety of audiences including colleagues and clients, both technical and non-technical 

What You'll Bring to Us:

Degree or advanced training in statistics, mathematics, computer science, or other highly quantitative field 
2-4 years of work experience related to the field 
Software development experience with Python. 
Knowledge of advanced statistical and analytical techniques and concepts such as sampling methods, regression, properties of distributions, weighting sample-based data, statistical tests and proper usage, etc. and experience with real-world applications. 
NumPy, SciPy, Pandas, MLlib, scikit-learn, and other common data and machine learning related libraries. 
Working knowledge of data structures, databases (SQL - an advantage), and ETL processes. 
Demonstrable history of devising and overseeing data-centered projects. 
Proactive attitude, self-motivated, and detail oriented person 
Analytical and problem-solving skills shown through probing and asking relevant questions. 
Able to learn quickly and juggle multiple projects with moving deadlines. 
Strong written and verbal communication skills. 
Capacity to foster a healthy, stimulating work environment that frequently harnesses teamwork. 
Knowledge of AWS environments and services would be beneficial. 

What we will offer you-

35 days holiday (including public holidays) 
Pension plan 
Employee Assistance Programme 
Life insurance 
Cycle to Work Scheme 
Private medical insurance with Vitality 
Training & Development sessions with our in-house L&D Platform 
Unlimited office snacks 
Hybrid working model & good work-life balance 
RSU's (Restricted Stock Units) plan 
Offices in major cities around the world and a cross-company collaboration unlike anywhere else.



 
#LI-EM1

 There is no such thing as the perfect resume, or someone that checks every box. At Innovid, we are generous with our time and knowledge, and always ready to teach. So however you identify and whatever background you bring with you, please apply if this is a role that would make you excited to come into work every day and add to Innovid.
Equal Opportunity Employer: Innovid is an equal opportunity employer, committed to our diversity and inclusiveness. We consider all qualified applicants regardless of race, color, nationality, gender, gender identity or expression, sexual orientation, religion, disability or age. We strongly encourage women, people of color, members of the LGBTQIA community, people with disabilities and veterans to apply. We are actively working to be an anti-racist organization. We're committing to creating an inclusive and equitable workplace for all of our employees. You can read more about our commitment to DEI here.
If you are located within the EEA and subject to GDPR or are a California resident subject to the California Consumer Privacy Act, click here to understand how Innovid processes your personal information and how you can exercise your rights.

"
001a03a22e25744a,Data Scientist - job post,Full-time,"



    United Kingdom
   



    Information Technology (IT) 
   



    Group Functions 
   


Job Reference #

    277557BR
   


City

    London
   


Job Type

    Full Time 
   


Your role

    Are you passionate about directly impacting the business by utilizing analytical and machine learning skills?
     Do you want to play a key role in mining large datasets to generate meaningful and actionable insights, improve decision making, and optimize the process?
     Are you an excellent problem solver who is passionate about technology and innovation?
    
 We are looking for a Data Scientist to:
    

Work with stakeholders to identify opportunities for leveraging data to drive business results
Mine and analyze data from various data sets to provide actionable insights
Employ machine learning and statistical methods to automate and transform the UBS Group Functions, including IT, Finance, Real Estate, and other delivery functions
Develop processes and tools to monitor and analyze model performance and data accuracy
Work with development team by providing end-to-end analytics and machine learning solutions




Your team

    You will be part of the Integrated Data Strategy and Platform team within Finance, Risk and the Data IT organization.
     Our Data strategy and platform are at the heart of UBS's Group Functions to digitize and support the business processes in these functions. The team is globally based in Switzerland, the UK, EMEA, APAC and the US.
    
 You experience and skills:
    

BS or MS or PhD in Data Science, Machine Learning, Statistics, or related STEM fields 
3+ years of relevant or equivalent experience, experience in finance industry is a plus
Knowledge of a variety of machine learning techniques such as natural language processing, classification, clustering, optimization, deep neural network, good understanding of mathematical underpinning and their real-world advantages/drawbacks
Hands on experience of using programming languages (Python, SQL, etc.) to manipulate data, develop models and derive insights.
Hands on experience of database and analytical technologies in the industry
Excellent oral and written communication skills
Ability to collaborate in a fast-paced team environment

 Diversity helps us grow, together. That’s why we are committed to fostering and advancing diversity, equity, and inclusion. It strengthens our business and brings value to our clients.
   


Your expertise

    We recruit T-shaped & well-rounded professionals who are deep experts in their core technologies, and are open to learning new technologies.
    
 Core skills include:
    

Hands on experience with Spark, Databricks, and relevant Azure components
Hands-on experience deploying analytical models to solve business problems
Ability to develop experimental and analytical plans for data modeling processes
Experience with data visualization tools




About us

    UBS is the world’s largest and only truly global wealth manager. We operate through four business divisions: Global Wealth Management, Personal & Corporate Banking, Asset Management and the Investment Bank. Our global reach and the breadth of our expertise set us apart from our competitors.
    
 With more than 70,000 employees, we have a presence in all major financial centers in more than 50 countries. Do you want to be one of us?
   


How we hire

    This role requires an assessment on application. Learn more about how we hire: www.ubs.com/global/en/careers/experienced-professionals.html
   


Join us

    At UBS, we embrace flexible ways of working when the role permits. We offer different working arrangements like part-time, job-sharing and hybrid (office and home) working. Our purpose-led culture and global infrastructure help us connect, collaborate, and work together in agile ways to meet all our business needs.
    
 From gaining new experiences in different roles to acquiring fresh knowledge and skills, we know that great work is never done alone. We know that it's our people, with their unique backgrounds, skills, experience levels and interests, who drive our ongoing success. Together we’re more than ourselves. Ready to be part of #teamUBS and make an impact?
   


Disclaimer / Policy Statements

    UBS is an Equal Opportunity Employer. We respect and seek to empower each individual and support the diverse cultures, perspectives, skills and experiences within our workforce.
   



"
